,When
821,TBA
822,TBA
823,TBA
824,TBA
825,TBA
826,TBA
827,TBA
828,TBA
829,TBA
830,TBA
831,TBA
832,TBA
833,TBA
834,TBA
835,TBA
836,TBA
837,TBA
838,TBA
839,TBA
840,TBA
841,TBA
842,TBA
843,TBA
844,TBA
845,TBA
846,TBA
847,TBA
848,TBA
849,TBA
850,M W - 2:20P - 3:35P
851,T R - 9:35A - 10:50A
852,T R - 11:10A - 12:25P
853,M W - 2:20P - 3:35P
854,M W - 2:20P - 3:35P
855,M W F - 9:10A - 10:00A
856,M W - 9:35A - 10:50A
857,W - 10:00A - 10:50A
858,T R - 11:10A - 12:25P
859,(01) M - 9:00A - 11:00A(11) W - 8:15A - 10:15A
860,TBA
861,TBA
862,TBA
863,M W F - 10:25A - 11:15A
864,M W F - 9:10A - 10:00A
865,T R - 11:10A - 12:25P
866,T R - 9:35A - 10:50A
867,T R - 9:35A - 10:50A
868,M W - 12:45P - 2:00P
869,T R - 2:20P - 5:20P
870,W - 4:00P - 5:25P
871,T R - 9:35A - 10:50A
872,T R - 11:10A - 12:25P
873,M W F - 11:40A - 12:30P
874,M W - 12:45P - 2:00P
875,T R - 11:10A - 12:25P
876,T - 12:45P - 2:00P
877,TBA
878,R - 4:00P - 5:15P
879,T - 4:00P - 5:15P
880,M - 4:00P - 5:15P
881,TBA
882,TBA
883,TBA
884,TBA
885,TBA
886,TBA
887,TBA
888,TBA
889,TBA
890,TBA
891,TBA
892,TBA
893,TBA
894,TBA
895,TBA
896,TBA
897,TBA
898,TBA
899,TBA
900,TBA
901,TBA
902,TBA
903,TBA
904,TBA
905,TBA
906,TBA
907,TBA
908,TBA
909,TBA
910,TBA
911,TBA
912,TBA
913,TBA
914,TBA
915,TBA
916,TBA
917,TBA
918,TBA
919,TBA
920,TBA
921,TBA
922,TBA
923,TBA
924,TBA
925,TBA
926,TBA
927,TBA
928,TBA
929,TBA
930,TBA
931,TBA
932,TBA
933,TBA
934,TBA
935,TBA
936,TBA
937,TBA
938,TBA
939,TBA
940,TBA
941,TBA
942,TBA
943,TBA
944,TBA
945,TBA
946,TBA
947,TBA
948,TBA
949,TBA
950,TBA
951,TBA
952,TBA
953,TBA
954,TBA
955,TBA
956,TBA
957,TBA
958,TBA
959,TBA
960,TBA
961,TBA
962,TBA
963,TBA
964,TBA
965,TBA
966,TBA
967,M W - 10:25A - 11:15A
968,M W - 10:25A - 11:15A
969,M W - 12:45P - 2:00P
970,M W - 11:40A - 12:30P
971,M W - 4:05P - 4:55P
972,M W - 2:30P - 3:20P
973,F - 10:25A - 11:15A
974,F - 11:40A - 12:30P
975,F - 11:40A - 12:30P
976,F - 1:00P - 1:50P
977,F - 10:25A - 11:15A
978,F - 9:10A - 10:00A
979,T R - 3:55P - 5:10P
980,T R - 3:55P - 5:10P
981,M W - 3:55P - 5:10P
982,T R - 9:35A - 10:50A
983,T R - 3:55P - 5:10P
984,M W - 11:10A - 12:25P
985,T R - 12:45P - 2:00P
986,T R - 12:45P - 2:00P
987,M W - 11:10A - 12:25P
988,(01) T R - 3:00P - 4:30P(11) M W F - 3:00P - 4:30P(21) M - 3:00P - 4:30P
989,F - 10:25A - 11:15A
990,F - 11:40A - 12:30P
991,F - 1:00P - 1:50P
992,F - 2:30P - 3:20P
993,F - 10:25A - 11:15A
994,F - 11:40A - 12:30P
995,F - 1:00P - 1:50P
996,F - 2:30P - 3:20P
997,M W - 2:30P - 3:20P
998,M W - 2:30P - 3:20P
999,T R - 3:55P - 5:10P
1000,T R - 3:55P - 5:10P
1001,T R - 11:10A - 12:25P
1002,T R - 12:45P - 2:00P
1003,T R - 2:20P - 3:35P
1004,T R - 12:45P - 2:00P
1005,T R - 12:45P - 2:00P
1006,M W - 12:45P - 2:00P
1007,M W - 3:55P - 5:10P
1008,T R - 11:10A - 12:25P
1009,T R - 11:10A - 12:25P
1010,M W - 10:25A - 11:15A
1011,M W - 10:25A - 11:15A
1012,M W - 11:10A - 12:25P
1013,M W - 2:20P - 3:35P
1014,T R - 2:20P - 3:35P
1015,M W F - 11:40A - 12:30P
1016,M W - 11:10A - 12:25P
1017,M W - 11:10A - 12:25P
1018,M W - 11:10A - 12:25P
1019,M W - 11:10A - 12:25P
1020,T R - 2:20P - 3:35P
1021,M W - 10:25A - 11:15A
1022,T - 11:10A - 1:55P
1023,T R - 3:55P - 5:10P
1024,T R - 3:55P - 5:10P
1025,T R - 12:45P - 2:00P
1026,T R - 12:45P - 2:00P
1027,M W - 12:45P - 2:00P
1028,M W - 12:45P - 2:00P
1029,M W - 11:40A - 12:30P
1030,M W - 11:40A - 12:30P
1031,M W - 3:55P - 5:10P
1032,M W - 3:55P - 5:10P
1033,T R - 2:20P - 3:35P
1034,T R - 2:20P - 3:35P
1035,T R - 11:10A - 12:25P
1036,M W - 10:25A - 11:15A
1037,M W - 10:25A - 11:15A
1038,T R - 9:35A - 10:50A
1039,T R - 9:35A - 10:50A
1040,T - 3:55P - 6:45P
1041,T R - 2:20P - 3:35P
